expt_name,trace_path,chase_index,bud_roi_path,trace_relpath,date
20191106_byc_by4741_young_NS,C:\Users\John Cooper\Projects\byc\data\20191106_byc/analysis/20191106_byc_by4741_young_NS_data_cell_00.csv,5,,20191106_byc\analysis\20191106_byc_by4741_young_NS_data_cell_00.csv,20191106
20191106_byc_by4741_young_NS,C:\Users\John Cooper\Projects\byc\data\20191106_byc/analysis/20191106_byc_by4741_young_NS_data_cell_01.csv,5,,20191106_byc\analysis\20191106_byc_by4741_young_NS_data_cell_01.csv,20191106
20191106_byc_by4741_young_NS,C:\Users\John Cooper\Projects\byc\data\20191106_byc/analysis/20191106_byc_by4741_young_NS_data_cell_02.csv,5,,20191106_byc\analysis\20191106_byc_by4741_young_NS_data_cell_02.csv,20191106
20191106_byc_by4741_young_NS,C:\Users\John Cooper\Projects\byc\data\20191106_byc/analysis/20191106_byc_by4741_young_NS_data_cell_03.csv,5,,20191106_byc\analysis\20191106_byc_by4741_young_NS_data_cell_03.csv,20191106
20191106_byc_by4741_young_NS,C:\Users\John Cooper\Projects\byc\data\20191106_byc/analysis/20191106_byc_by4741_young_NS_data_cell_04.csv,5,,20191106_byc\analysis\20191106_byc_by4741_young_NS_data_cell_04.csv,20191106
20191223_byc_by4741_Rkk-Su9_pJC034,C:\Users\John Cooper\Projects\byc\data\20191223_byc/20191223_byc_analysis/20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_00.csv,5,,20191223_byc\20191223_byc_analysis\20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_00.csv,20191223
20191223_byc_by4741_Rkk-Su9_pJC034,C:\Users\John Cooper\Projects\byc\data\20191223_byc/20191223_byc_analysis/20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_01.csv,5,,20191223_byc\20191223_byc_analysis\20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_01.csv,20191223
20191223_byc_by4741_Rkk-Su9_pJC034,C:\Users\John Cooper\Projects\byc\data\20191223_byc/20191223_byc_analysis/20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_02.csv,5,,20191223_byc\20191223_byc_analysis\20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_02.csv,20191223
20191223_byc_by4741_Rkk-Su9_pJC034,C:\Users\John Cooper\Projects\byc\data\20191223_byc/20191223_byc_analysis/20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_03.csv,5,,20191223_byc\20191223_byc_analysis\20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_03.csv,20191223
20191223_byc_by4741_Rkk-Su9_pJC034,C:\Users\John Cooper\Projects\byc\data\20191223_byc/20191223_byc_analysis/20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_04.csv,5,,20191223_byc\20191223_byc_analysis\20191223_byc_by4741_Rkk-Su9_pJC034_data_cell_04.csv,20191223
