expt_date,plasmid,ref_fluor,substrate_fluor,genotype,tail,n_end,tet_concn,clone,path,fluor_channel_names,note,substrate_ctl,file_name
20200312,pJC030,DsRed,sYFP2,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A1_A01_P4.csv
20200312,pJC030,DsRed,sYFP2,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A2_A02_P4.csv
20200312,pJC030,DsRed,sYFP2,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A3_A03_P4.csv
20200312,pJC030,DsRed,sYFP2,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A4_A04_P4.csv
20200312,pJC030,DsRed,sYFP2,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A5_A05_P4.csv
20200312,pJC030,DsRed,sYFP2,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,yfp rfp,03122020_Specimen_001_A6_A06_P4.csv
20200312,pJC041,sYFP2,mCherry,pdr5d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A7_A07_P4.csv
20200312,pJC041,sYFP2,mCherry,pdr5d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A8_A08_P4.csv
20200312,pJC041,sYFP2,mCherry,pdr5d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A9_A09_P4.csv
20200312,pJC041,sYFP2,mCherry,rpn4d,NS,UbL,0,1,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A10_A10_P4.csv
20200312,pJC041,sYFP2,mCherry,rpn4d,NS,UbL,0,2,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A11_A11_P4.csv
20200312,pJC041,sYFP2,mCherry,rpn4d,NS,UbL,0,3,C:\Users\John Cooper\Box Sync\Finkelstein-Matouschek\flow_cytometry\20200312_pJC030_41_51_67_69_71_72_p_r\csvs,yfp rfp,na,rfp yfp,03122020_Specimen_001_A12_A12_P4.csv
